report_code,report_title,start_time_utc,end_time_utc,zone_id,zone_name,raid_night_date,primary_difficulty,total_pulls,boss_kills,total_wipes,total_fight_seconds,unique_bosses_engaged,unique_bosses_killed
7xq9fkbjQvz6cBG8,Castle Nathria,2021-03-07T21:09:01.404Z,2021-03-07T22:47:51.866Z,26,Castle Nathria,2021-03-07,Heroic,10,1,9,3650,1,1
dgxaXkbCN8zD6YFQ,Fatescribe KILL,2021-11-29T19:14:17.337Z,2021-11-29T21:20:10.270Z,28,Sanctum of Domination,2021-11-29,Mythic,17,1,16,4113,1,1
18GRTzjXDygJ3KMx,Ovinax Mythic FIRST NIGHT - 28-10,2024-10-28T18:52:57.590Z,2024-10-28T22:01:57.994Z,38,Nerub-ar Palace,2024-10-28,Mythic,33,0,33,3654,1,0
y4a3VfkMG2chx1gz,CN HC + Mythic,2021-03-31T18:10:22.952Z,2021-03-31T21:33:57.517Z,26,Castle Nathria,2021-03-31,Heroic,21,5,16,4863,6,5
wdMpnJfhkxmRYQCV,Silken Court 01-20,2025-01-20T18:50:49.272Z,2025-01-20T22:01:13.669Z,38,Nerub-ar Palace,2025-01-20,Mythic,34,0,34,5216,1,0
G4hyDpgwbTFWR62z,4 april hc,2022-04-04T17:49:54.560Z,2022-04-04T21:08:58.877Z,29,Sepulcher of the First Ones,2022-04-04,Heroic,30,2,28,5486,3,2
WX8mzc1jdgJ3QDMr,hc sancy d,2021-07-12T18:14:09.183Z,2021-07-12T19:55:55.823Z,28,Sanctum of Domination,2021-07-12,Heroic,11,3,8,3196,3,3
cb6aVy4NDKAnLr3J,Last Full Heroic? Maybe? Idk - 0326,2025-03-26T18:48:53.822Z,2025-03-26T21:58:58.393Z,42,Liberation of Undermine,2025-03-26,Heroic,20,9,11,5452,8,8
pm4FfCacGwKM9L1y,And we back - 03-18,2026-03-18T18:55:42.765Z,2026-03-18T22:03:53.264Z,46,VS / DR / MQD,2026-03-18,Heroic,17,7,10,5786,7,7
DZgdAH4cLTRw1PYm,2023-01-18,2023-01-18T18:53:35.331Z,2023-01-18T21:40:45.859Z,31,Vault of the Incarnates,2023-01-18,Heroic,14,5,9,4800,5,5
GmxPY2Jqpaf3tNwD,Heroic -> Mythic 04-02,2025-04-02T17:44:21.412Z,2025-04-02T21:03:12.172Z,42,Liberation of Undermine,2025-04-02,Heroic,22,7,15,5299,6,6
hPYyjxCAkLX36pJn,Alt run HC Tarragrue,2021-09-12T18:36:32.870Z,2021-09-12T18:39:50.274Z,28,Sanctum of Domination,2021-09-12,Heroic,1,1,0,197,1,1
gkBHVXK3fzp9864G,eranog,2023-03-08T19:08:33.557Z,2023-03-08T19:11:13.256Z,31,Vault of the Incarnates,2023-03-08,Mythic,1,1,0,159,1,1
Z67JRx38z1CQaB9d,Sylvanas 17 feb,2022-02-17T18:53:41.733Z,2022-02-17T22:22:08.385Z,28,Sanctum of Domination,2022-02-17,Mythic,15,0,15,8346,1,0
RTLkyMmYvb8zCQ91,Normal -> Heroic Gambling 03-12,2025-03-12T18:48:58.172Z,2025-03-12T21:54:39.873Z,42,Liberation of Undermine,2025-03-12,Heroic,19,12,7,4122,8,8
qwyGmzb3rgaPQHRk,Waccy Baccy Fraccy 09-22,2025-09-22T17:41:25.530Z,2025-09-22T21:04:31.484Z,44,Manaforge Omega,2025-09-22,Mythic,37,0,37,5930,1,0
23cWhjnYGpQazDKH,2023-02-06 kurog,2023-02-06T18:49:44.990Z,2023-02-06T22:08:12.592Z,31,Vault of the Incarnates,2023-02-06,Mythic,24,1,23,6920,1,1
1JR3rTW7HjM928dC,Augmented Raiding 12-07,2023-07-12T17:50:21.836Z,2023-07-12T20:58:47.415Z,33,"Aberrus, the Shadowed Crucible",2023-07-12,Heroic,25,5,20,5859,5,4
PKD8LbmhwgyNVnj1,Heroic Fun Run WOOOO,2025-06-18T18:03:20.161Z,2025-06-18T19:26:55.250Z,42,Liberation of Undermine,2025-06-18,Heroic,12,8,4,2101,8,8
kRH7K3ajVbG24hCP,Sepulcher 9 march,2022-03-09T18:57:27.948Z,2022-03-09T23:47:48.405Z,29,Sepulcher of the First Ones,2022-03-09,Normal,23,8,15,6000,8,8
6kF2yQvdPG3Tg8Bz,Castle Nathria,2021-03-10T19:13:18.278Z,2021-03-10T22:39:47.359Z,26,Castle Nathria,2021-03-10,Heroic,19,4,15,5339,5,4
q4ZwLAfXd2FhVxkW,alt raid!! (ONLY EGIRLS ALLOWED),2023-12-27T18:52:29.778Z,2023-12-27T20:59:56.384Z,35,"Amirdrassil, the Dream's Hope",2023-12-27,Heroic,16,8,8,3996,9,8
xLNkMfwA9GKBFvRj,HC Fatescribe,2021-07-26T18:39:33.571Z,2021-07-26T21:11:39.599Z,28,Sanctum of Domination,2021-07-26,Heroic,16,1,15,5341,2,1
QPNj7L31FRBfCTX9,Queen Platform (shoes) 02-19,2025-02-19T18:41:40.721Z,2025-02-19T22:01:26.132Z,38,Nerub-ar Palace,2025-02-19,Mythic,30,0,30,6480,1,0
v1Wk8JdZptNGX3Fc,2023-08-23 sark,2023-08-23T17:55:24.967Z,2023-08-23T20:56:20.083Z,33,"Aberrus, the Shadowed Crucible",2023-08-23,Mythic,30,0,30,5369,1,0
WqhZkYfc3mQ4gLpz,Painsmith,2021-10-20T18:17:45.106Z,2021-10-20T21:01:45.536Z,28,Sanctum of Domination,2021-10-20,Mythic,25,0,25,5721,1,0
taRZVdpHQ38Yvycw,Last night of 11.0 - 02-24,2025-02-24T18:57:14.061Z,2025-02-24T21:25:07.821Z,38,Nerub-ar Palace,2025-02-24,Mythic,22,0,22,4051,1,0
vKMyHdVJA1nRqpNh,"HC SW, SLG, Sire + Mythic SW, Altimor, Hungering prog",2021-02-03T18:58:31.980Z,2021-02-03T22:31:49.826Z,26,Castle Nathria,2021-02-03,Heroic,22,6,16,4561,6,5
XN3BmRdHCfcVn4hZ,Full HC reclear,2021-08-25T18:15:44.809Z,2021-08-25T21:07:17.592Z,28,Sanctum of Domination,2021-08-25,Heroic,16,10,6,4853,10,10
CacrYdy69jTKQXgH,2023-09-27 sark,2023-09-27T17:52:02.145Z,2023-09-27T20:59:20.861Z,33,"Aberrus, the Shadowed Crucible",2023-09-27,Mythic,28,0,28,6686,1,0
LxaH4NmK2qjQGPDT,Mythic council,2021-04-05T18:24:13.927Z,2021-04-05T21:33:25.506Z,26,Castle Nathria,2021-04-05,Mythic,18,2,16,4329,4,2
jNqfxDa9XdFMLH26,Just another myffic Monday - 01-26,2026-01-26T19:04:47.439Z,2026-01-26T22:17:56.608Z,44,Manaforge Omega,2026-01-26,Mythic,32,10,22,5324,10,10
8VHhC6knDNdm2Z7M,We go adimmagain - 02-02,2026-02-02T20:17:28.171Z,2026-02-02T23:18:35.703Z,44,Manaforge Omega,2026-02-02,Mythic,9,1,8,1968,1,1
gaGcnYbCmRQ87pPA,Dimmy D is gonna be Dimmy DEAD - 11-17,2025-11-17T18:42:46.357Z,2025-11-17T21:58:29.963Z,44,Manaforge Omega,2025-11-17,Mythic,44,0,44,3922,1,0
wKCG1QTxqJ4zHF3p,CN heroic alt run 2,2021-02-28T19:51:51.511Z,2021-02-28T20:11:02.961Z,26,Castle Nathria,2021-02-28,Heroic,2,0,2,557,1,0
GZ862qLwjapBWCmY,Soul Hunters Proggers - 10-13,2025-10-13T17:30:50.493Z,2025-10-13T20:36:05.608Z,44,Manaforge Omega,2025-10-13,Mythic,24,1,23,4889,1,1
twn3R47hpGjBDHya,HC Into Mythic 06/12-23,2023-12-06T19:05:27.914Z,2023-12-06T22:08:26.672Z,35,"Amirdrassil, the Dream's Hope",2023-12-06,Heroic,25,10,15,4955,9,9
DHWg826KAtv1zPNx,Sylvanas 27 dec,2021-12-27T19:10:14.401Z,2021-12-27T21:51:56.282Z,28,Sanctum of Domination,2021-12-27,Mythic,25,0,25,4898,1,0
yxrwPNXdf4nFVC2j,2023-09-25 sark,2023-09-25T17:53:51.289Z,2023-09-25T20:57:30.700Z,33,"Aberrus, the Shadowed Crucible",2023-09-25,Mythic,25,0,25,5579,1,0
hwb4B9Afxn7F3gWm,2025-07-14 gallywally,2025-07-14T17:51:34.876Z,2025-07-14T20:58:47.907Z,42,Liberation of Undermine,2025-07-14,Mythic,29,0,29,5984,1,0
RXHprJZNwkBPx7DC,Sepulcher HC,2022-03-02T18:59:21.654Z,2022-03-02T22:07:08.154Z,29,Sepulcher of the First Ones,2022-03-02,Heroic,25,2,23,5366,3,2
G2DXPmwTRnQdMvJW,normal brd,2024-10-23T10:49:13.878Z,2024-10-23T13:42:53.011Z,40,Blackrock Depths,2024-10-23,Normal,16,8,8,3400,8,8
mn9hPyRzMtj72ABZ,Anduin,2022-03-07T22:03:30.747Z,2022-03-08T01:35:02.646Z,29,Sepulcher of the First Ones,2022-03-07,Normal,4,1,3,1443,1,1
DAQn38bGZFdRT67j,Locken Progen 05-05,2025-05-05T17:45:53.362Z,2025-05-05T21:00:39.730Z,42,Liberation of Undermine,2025-05-05,Mythic,41,0,41,5612,1,0
MKNfxdYADmPb9Xpq,Last raid of 24,2024-12-18T18:56:24.076Z,2024-12-18T22:04:38.599Z,38,Nerub-ar Palace,2024-12-18,Mythic,46,0,46,3475,1,0
QKydWTLA3BX2tx67,3 Heroic -> 4 Mythic? 09-10,2025-09-10T17:48:25.931Z,2025-09-10T21:05:55.324Z,44,Manaforge Omega,2025-09-10,Heroic,22,6,16,6007,6,6
9NyqJfg3RH2vcdDr,2025-10-29 left side!!!,2025-10-29T19:00:46.363Z,2025-10-29T22:03:39.734Z,44,Manaforge Omega,2025-10-29,Mythic,34,0,34,6114,1,0
Yp9ZN7tzQ4BraWJm,Sanctum Mythic,2021-08-30T18:00:03.134Z,2021-08-30T21:02:27.067Z,28,Sanctum of Domination,2021-08-30,Mythic,18,3,15,4365,4,3
6hgWb9kPDy4qJVdw,Reclear 1113,2024-11-13T18:58:57.405Z,2024-11-13T22:04:05.034Z,38,Nerub-ar Palace,2024-11-13,Mythic,22,4,18,4294,5,4
WvZFGM6T9RzdbPXw,Mythic,2021-09-01T18:06:28.963Z,2021-09-01T21:07:19.500Z,28,Sanctum of Domination,2021-09-01,Mythic,21,3,18,5358,4,3
YxAtHb2X9VmBK1dy,2023-03-06 last pulls,2023-03-06T21:43:14.356Z,2023-03-06T22:00:02.579Z,31,Vault of the Incarnates,2023-03-06,Mythic,5,0,5,628,1,0
