encounter_id,boss_name,zone_name,difficulty,difficulty_label,raid_night_date,report_code,report_title,start_time_utc,end_time_utc,pulls_on_night,kills_on_night,wipes_on_night,best_wipe_pct_on_night,avg_wipe_pct_on_night,best_boss_hp_remaining,is_kill_on_night,kill_duration_seconds,longest_pull_seconds
2407,Sire Denathrius,Castle Nathria,4,Heroic,2021-02-17,z7DcJPX8nHKM2CVQ,Castle Nathria,2021-02-17T18:57:00.360Z,2021-02-17T22:34:02.047Z,1,1,0,null,null,0.0,true,449,449
2399,Sludgefist,Castle Nathria,4,Heroic,2021-02-17,z7DcJPX8nHKM2CVQ,Castle Nathria,2021-02-17T18:57:00.360Z,2021-02-17T22:34:02.047Z,1,1,0,null,null,0.0,true,251,251
2398,Shriekwing,Castle Nathria,5,Mythic,2021-02-17,z7DcJPX8nHKM2CVQ,Castle Nathria,2021-02-17T18:57:00.360Z,2021-02-17T22:34:02.047Z,1,1,0,null,null,0.0,true,389,389
2402,Sun King's Salvation,Castle Nathria,4,Heroic,2021-02-21,cLx6D7mVCRpPYdka,Alt run,2021-02-21T19:15:41.521Z,2021-02-21T22:24:11.428Z,2,1,1,74.85,74.85,0.0,true,332,347
2418,Huntsman Altimor,Castle Nathria,4,Heroic,2021-02-21,cLx6D7mVCRpPYdka,Alt run,2021-02-21T19:15:41.521Z,2021-02-21T22:24:11.428Z,2,1,1,37.76,37.76,0.0,true,295,295
2412,The Council of Blood,Castle Nathria,4,Heroic,2021-02-21,cLx6D7mVCRpPYdka,Alt run,2021-02-21T19:15:41.521Z,2021-02-21T22:24:11.428Z,1,1,0,null,null,0.0,true,409,409
2383,Hungering Destroyer,Castle Nathria,4,Heroic,2021-02-21,cLx6D7mVCRpPYdka,Alt run,2021-02-21T19:15:41.521Z,2021-02-21T22:24:11.428Z,3,1,2,25.44,31.1,0.0,true,242,242
2398,Shriekwing,Castle Nathria,4,Heroic,2021-02-21,cLx6D7mVCRpPYdka,Alt run,2021-02-21T19:15:41.521Z,2021-02-21T22:24:11.428Z,1,1,0,null,null,0.0,true,306,306
2417,Stone Legion Generals,Castle Nathria,3,Normal,2021-02-21,cLx6D7mVCRpPYdka,Alt run,2021-02-21T19:15:41.521Z,2021-02-21T22:24:11.428Z,1,1,0,null,null,0.0,true,346,346
2407,Sire Denathrius,Castle Nathria,3,Normal,2021-02-21,cLx6D7mVCRpPYdka,Alt run,2021-02-21T19:15:41.521Z,2021-02-21T22:24:11.428Z,3,1,2,31.59,38.71,0.0,true,530,530
2399,Sludgefist,Castle Nathria,3,Normal,2021-02-21,cLx6D7mVCRpPYdka,Alt run,2021-02-21T19:15:41.521Z,2021-02-21T22:24:11.428Z,1,1,0,null,null,0.0,true,240,240
2405,Artificer Xy'mox,Castle Nathria,4,Heroic,2021-02-21,cLx6D7mVCRpPYdka,Alt run,2021-02-21T19:15:41.521Z,2021-02-21T22:24:11.428Z,1,1,0,null,null,0.0,true,286,286
2406,Lady Inerva Darkvein,Castle Nathria,4,Heroic,2021-02-21,cLx6D7mVCRpPYdka,Alt run,2021-02-21T19:15:41.521Z,2021-02-21T22:24:11.428Z,1,1,0,null,null,0.0,true,277,277
2405,Artificer Xy'mox,Castle Nathria,5,Mythic,2021-02-22,dVvNQ6KH4yXmpxra,Artificer Xy'mox prog,2021-02-22T18:43:41.413Z,2021-02-22T22:39:16.594Z,25,0,25,27.63,50.05,27.63,false,null,353
2417,Stone Legion Generals,Castle Nathria,4,Heroic,2021-02-24,VCaPR3FZ6L4wM9p7,"HC Reclear + Shriek, Altimor, Xy'mox",2021-02-24T18:59:30.265Z,2021-02-24T22:21:27.070Z,1,1,0,null,null,0.0,true,422,422
2418,Huntsman Altimor,Castle Nathria,5,Mythic,2021-02-24,VCaPR3FZ6L4wM9p7,"HC Reclear + Shriek, Altimor, Xy'mox",2021-02-24T18:59:30.265Z,2021-02-24T22:21:27.070Z,2,1,1,2.9,2.9,0.0,true,342,342
2399,Sludgefist,Castle Nathria,4,Heroic,2021-02-24,VCaPR3FZ6L4wM9p7,"HC Reclear + Shriek, Altimor, Xy'mox",2021-02-24T18:59:30.265Z,2021-02-24T22:21:27.070Z,1,1,0,null,null,0.0,true,251,251
2398,Shriekwing,Castle Nathria,4,Heroic,2021-02-24,VCaPR3FZ6L4wM9p7,"HC Reclear + Shriek, Altimor, Xy'mox",2021-02-24T18:59:30.265Z,2021-02-24T22:21:27.070Z,2,1,1,97.49,97.49,0.0,true,196,196
2398,Shriekwing,Castle Nathria,5,Mythic,2021-02-24,VCaPR3FZ6L4wM9p7,"HC Reclear + Shriek, Altimor, Xy'mox",2021-02-24T18:59:30.265Z,2021-02-24T22:21:27.070Z,1,1,0,null,null,0.0,true,350,350
2405,Artificer Xy'mox,Castle Nathria,5,Mythic,2021-02-24,VCaPR3FZ6L4wM9p7,"HC Reclear + Shriek, Altimor, Xy'mox",2021-02-24T18:59:30.265Z,2021-02-24T22:21:27.070Z,11,1,10,9.24,43.26,0.0,true,397,423
2407,Sire Denathrius,Castle Nathria,4,Heroic,2021-02-24,VCaPR3FZ6L4wM9p7,"HC Reclear + Shriek, Altimor, Xy'mox",2021-02-24T18:59:30.265Z,2021-02-24T22:21:27.070Z,1,1,0,null,null,0.0,true,434,434
2418,Huntsman Altimor,Castle Nathria,5,Mythic,2021-02-24,tPzRkhavcB4C16J9,Castle Nathria,2021-02-24T18:56:15.109Z,2021-02-24T22:23:29.142Z,2,1,1,2.9,2.9,0.0,true,342,342
2398,Shriekwing,Castle Nathria,4,Heroic,2021-02-24,tPzRkhavcB4C16J9,Castle Nathria,2021-02-24T18:56:15.109Z,2021-02-24T22:23:29.142Z,2,1,1,97.49,97.49,0.0,true,196,196
2399,Sludgefist,Castle Nathria,4,Heroic,2021-02-24,tPzRkhavcB4C16J9,Castle Nathria,2021-02-24T18:56:15.109Z,2021-02-24T22:23:29.142Z,1,1,0,null,null,0.0,true,251,251
2398,Shriekwing,Castle Nathria,5,Mythic,2021-02-24,tPzRkhavcB4C16J9,Castle Nathria,2021-02-24T18:56:15.109Z,2021-02-24T22:23:29.142Z,1,1,0,null,null,0.0,true,350,350
2405,Artificer Xy'mox,Castle Nathria,5,Mythic,2021-02-24,tPzRkhavcB4C16J9,Castle Nathria,2021-02-24T18:56:15.109Z,2021-02-24T22:23:29.142Z,11,1,10,9.24,43.26,0.0,true,397,423
2417,Stone Legion Generals,Castle Nathria,4,Heroic,2021-02-24,tPzRkhavcB4C16J9,Castle Nathria,2021-02-24T18:56:15.109Z,2021-02-24T22:23:29.142Z,1,1,0,null,null,0.0,true,422,422
2407,Sire Denathrius,Castle Nathria,4,Heroic,2021-02-24,tPzRkhavcB4C16J9,Castle Nathria,2021-02-24T18:56:15.109Z,2021-02-24T22:23:29.142Z,1,1,0,null,null,0.0,true,434,434
2398,Shriekwing,Castle Nathria,4,Heroic,2021-02-28,HZ7GdwbgWhLKnqvB,CN heroic alt run,2021-02-28T19:01:02.083Z,2021-02-28T19:51:06.496Z,1,1,0,null,null,0.0,true,251,251
