player_name,player_class,total_deaths,kills_tracked,deaths_per_kill,most_common_killing_blow,most_common_killing_blow_count,top_killing_blows_json,zones_died_in,last_death_timestamp_ms
Karlosmmh,Shaman,2,0,2.0,Venomous Rain,1,"[{""name"":""Venomous Rain"",""count"":1},{""name"":""Reckless Impact"",""count"":1}]","[""Nerub-ar Palace""]",5640962
Endonaen,Druid,2,0,2.0,Tyranny,1,"[{""name"":""Tyranny"",""count"":1}]","[""Manaforge Omega""]",5835727
Shoopzz,Shaman,2,0,2.0,Web Bomb,1,"[{""name"":""Web Bomb"",""count"":1},{""name"":""Reckless Impact"",""count"":1}]","[""Nerub-ar Palace""]",1222628
Loccalo,Warlock,2,0,2.0,Reap,1,"[{""name"":""Reap"",""count"":1},{""name"":""Self-Destruct"",""count"":1}]","[""Manaforge Omega""]",5837172
Поджечь,Warlock,2,0,2.0,Vanquish,1,"[{""name"":""Vanquish"",""count"":1}]","[""Manaforge Omega""]",5721116
Narathon,Evoker,2,1,2.0,Tyranny,1,"[{""name"":""Tyranny"",""count"":1},{""name"":""Self-Destruct"",""count"":1}]","[""Manaforge Omega""]",5837165
Lilleso,DemonHunter,2,0,2.0,Self-Destruct,1,"[{""name"":""Self-Destruct"",""count"":1},{""name"":""Vanquish"",""count"":1}]","[""Manaforge Omega""]",5837173
Катушка,Warrior,2,0,2.0,Melee,1,"[{""name"":""Melee"",""count"":1}]","[""Manaforge Omega""]",5840586
Delivery,Shaman,2,1,2.0,Massive Smash,1,"[{""name"":""Massive Smash"",""count"":1}]","[""Manaforge Omega""]",441172
Ventrus,Rogue,2,0,2.0,Vanquish,1,"[{""name"":""Vanquish"",""count"":1}]","[""Manaforge Omega""]",5684651
Deea,Paladin,2,0,2.0,Vanquish,1,"[{""name"":""Vanquish"",""count"":1},{""name"":""Tyranny"",""count"":1}]","[""Manaforge Omega""]",5636183
Rivey,Monk,135,68,1.99,Oblivion,19,"[{""name"":""Oblivion"",""count"":19},{""name"":""Devour"",""count"":5},{""name"":""Void Breath"",""count"":5}]","[""Manaforge Omega"",""VS / DR / MQD""]",24950615
Turbohot,Hunter,1318,664,1.98,Oblivion,54,"[{""name"":""Oblivion"",""count"":54},{""name"":""Reaper"",""count"":24},{""name"":""Venom Nova"",""count"":24}]","[""Vault of the Incarnates"",""Liberation of Undermine"",""Nerub-ar Palace"",""Manaforge Omega"",""Aberrus, the Shadowed Crucible"",""Amirdrassil, the Dream's Hope"",""VS / DR / MQD""]",25131241
Axonea,Shaman,425,216,1.97,Reckless Impact,39,"[{""name"":""Reckless Impact"",""count"":39},{""name"":""Betrayal"",""count"":33},{""name"":""Melee"",""count"":26}]","[""Liberation of Undermine"",""Nerub-ar Palace""]",21217011
Magicwingers,Evoker,1379,722,1.91,Oblivion,71,"[{""name"":""Oblivion"",""count"":71},{""name"":""Reckless Impact"",""count"":42},{""name"":""Polarized Catastro-Blast"",""count"":25}]","[""Blackrock Depths"",""Aberrus, the Shadowed Crucible"",""Manaforge Omega"",""Vault of the Incarnates"",""Amirdrassil, the Dream's Hope"",""Nerub-ar Palace"",""Liberation of Undermine""]",25132932
Reminiscence,DeathKnight,44,23,1.91,Poison Burst,11,"[{""name"":""Poison Burst"",""count"":11},{""name"":""Melee"",""count"":11},{""name"":""Volatile Concoction"",""count"":8}]","[""Nerub-ar Palace""]",9197182
Brickyd,Warrior,147,78,1.88,Melee,16,"[{""name"":""Melee"",""count"":16},{""name"":""Auto-Locking Cuff Bomb"",""count"":12},{""name"":""Astral Surge"",""count"":7}]","[""Nerub-ar Palace"",""Manaforge Omega"",""Liberation of Undermine""]",15215281
Jabs,Monk,15,8,1.88,Melee,3,"[{""name"":""Melee"",""count"":3},{""name"":""Chemical Explosion"",""count"":2},{""name"":""Blaze"",""count"":1}]","[""Blackrock Depths""]",10040270
Panster,Shaman,13,7,1.86,Acrid Presence,2,"[{""name"":""Acrid Presence"",""count"":2},{""name"":""Venom Nova"",""count"":2},{""name"":""Web Vortex"",""count"":1}]","[""Nerub-ar Palace""]",7699728
Mêoow,Druid,138,76,1.82,Astral Surge,26,"[{""name"":""Astral Surge"",""count"":26},{""name"":""Lair Weaving"",""count"":16},{""name"":""Prime Sequence"",""count"":5}]","[""Manaforge Omega"",""Liberation of Undermine""]",15311575
Blessedpee,Paladin,9,5,1.8,Melee,3,"[{""name"":""Melee"",""count"":3},{""name"":""Enraged Tantrum"",""count"":2},{""name"":""Arcane Siphon"",""count"":1}]","[""Manaforge Omega""]",8548251
Bpd,Warlock,218,122,1.79,Discarded Doomsplosive,17,"[{""name"":""Discarded Doomsplosive"",""count"":17},{""name"":""Polarized Catastro-Blast"",""count"":15},{""name"":""Blaring Drop"",""count"":13}]","[""VS / DR / MQD"",""Liberation of Undermine""]",11363429
Waka,Shaman,25,14,1.79,Blaze,7,"[{""name"":""Blaze"",""count"":7},{""name"":""Dying Flare"",""count"":3},{""name"":""Consumptive Flames"",""count"":2}]","[""Blackrock Depths"",""Liberation of Undermine""]",9153294
Feilfarga,Hunter,14,8,1.75,Cataclysmic Entropy,2,"[{""name"":""Cataclysmic Entropy"",""count"":2},{""name"":""Frothy Toxin"",""count"":2},{""name"":""Reckless Impact"",""count"":1}]","[""Nerub-ar Palace""]",5756101
Eleftheria,Priest,7,4,1.75,Acidic Stupor,1,"[{""name"":""Acidic Stupor"",""count"":1},{""name"":""Tacky Threads"",""count"":1},{""name"":""Rain of Arrows"",""count"":1}]","[""Nerub-ar Palace""]",9635738
Lòómy,Shaman,7,4,1.75,Scatterblast Canisters,3,"[{""name"":""Scatterblast Canisters"",""count"":3},{""name"":""Canister Detonation"",""count"":2},{""name"":""Juice It!"",""count"":1}]","[""Liberation of Undermine""]",6758449
Typ,Warrior,57,33,1.73,Melee,4,"[{""name"":""Melee"",""count"":4},{""name"":""Void Howl"",""count"":4},{""name"":""Light Dive"",""count"":3}]","[""VS / DR / MQD""]",11124238
Medoyssa,DemonHunter,12,7,1.71,Reaction Vapor,2,"[{""name"":""Reaction Vapor"",""count"":2},{""name"":""Acrid Presence"",""count"":2},{""name"":""Melee"",""count"":1}]","[""Nerub-ar Palace""]",7697759
