player_name,realm_slug,region,profile_url,season,snapshot_at,score_all,score_dps,score_healer,score_tank,world_rank,region_rank,realm_rank,total_runs,timed_runs,untimed_runs,highest_timed_level,highest_untimed_level,most_common_key_level,most_common_key_count,best_run_dungeon,best_run_short_name,best_run_level,best_run_score,best_run_timed,best_run_completed_at,best_run_url
Televisies,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Televisies,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Televisions,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Televisions,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Temers,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Temers,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Temiri,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Temiri,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Temiti,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Temiti,current,2026-04-19T22:49:32.697Z,322.2,322.2,0.0,0.0,2454180,887418,37079,1,1,0,10,null,10,1,Algeth'ar Academy,AA,10,322.2,true,2026-03-31T22:38:46.000Z,https://raider.io/mythic-plus-runs/season-mn-1/6168023-10-algethar-academy
Temitiri,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Temitiri,current,2026-04-19T22:49:32.697Z,160.1,160.1,0.0,0.0,2612481,945355,38823,1,1,0,2,null,2,1,Magisters' Terrace,MT,2,160.1,true,2026-04-18T16:25:19.000Z,https://raider.io/mythic-plus-runs/season-mn-1/14350364-2-magisters-terrace
Temra,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Temra,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Temtem,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Temtem,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Teraela,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Teraela,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Thclock,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Thclock,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Thistle,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Thistle,current,2026-04-19T22:49:32.697Z,332.0,332.0,0.0,0.0,2416771,876478,36592,1,1,0,10,null,10,1,Seat of the Triumvirate,SEAT,10,332.0,true,2026-04-19T15:46:19.000Z,https://raider.io/mythic-plus-runs/season-mn-1/15081023-10-seat-of-the-triumvirate
Thread,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Thread,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Throb,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Throb,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Thype,ravencrest,eu,https://raider.io/characters/eu/ravencrest/Thype,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Tiakra,argent-dawn,eu,https://raider.io/characters/eu/argent-dawn/Tiakra,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Timed,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Timed,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Tmi,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Tmi,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Toastmachine,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Toastmachine,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Toeinmouth,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Toeinmouth,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Totemgoblin,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Totemgoblin,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Toxicox,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Toxicox,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Trashorwhat,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Trashorwhat,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Trijin,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Trijin,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Turbohot,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Turbohot,current,2026-04-19T22:49:32.697Z,2723.1,2723.1,0.0,0.0,803964,281273,14812,16,16,0,11,null,10,9,Windrunner Spire,WS,11,346.2,true,2026-03-29T11:43:07.000Z,https://raider.io/mythic-plus-runs/season-mn-1/3379054-11-windrunner-spire
Turbolesbo,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Turbolesbo,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
