encounter_id,boss_name,zone_name,difficulty,difficulty_label,total_wipes,avg_boss_pct,pct_wipes_phase_1,pct_wipes_phase_2,pct_wipes_phase_3_plus,wipes_lt_1min,wipes_1_3min,wipes_3_5min,wipes_5plus_min,last_week_avg_boss_pct,progress_trend
2412,The Council of Blood,Castle Nathria,4,Heroic,3,89.2,66.7,0.0,33.3,2,0,0,1,68.0,-21.2
2417,Stone Legion Generals,Castle Nathria,4,Heroic,11,54.4,36.4,45.5,18.2,0,3,3,5,61.8,7.38
2418,Huntsman Altimor,Castle Nathria,4,Heroic,36,35.7,2.8,38.9,58.3,1,25,10,0,35.6,-0.09
2383,Hungering Destroyer,Castle Nathria,5,Mythic,44,57.5,100.0,0.0,0.0,1,14,24,5,39.6,-17.89
2398,Shriekwing,Castle Nathria,5,Mythic,2,6.4,100.0,0.0,0.0,0,0,0,2,6.4,0.0
2402,Sun King's Salvation,Castle Nathria,5,Mythic,44,56.7,100.0,0.0,0.0,1,31,10,2,60.3,3.6
2405,Artificer Xy'mox,Castle Nathria,5,Mythic,124,45.2,1.6,23.4,75.0,0,42,70,12,53.3,8.12
2406,Lady Inerva Darkvein,Castle Nathria,5,Mythic,121,36.6,100.0,0.0,0.0,1,43,56,21,31.9,-4.73
2412,The Council of Blood,Castle Nathria,5,Mythic,29,49.9,51.7,48.3,0.0,0,10,16,3,58.6,8.7
2418,Huntsman Altimor,Castle Nathria,5,Mythic,28,31.9,3.6,53.6,42.9,0,13,10,5,34.9,2.91
3009,Vexie and the Geargrinders,Liberation of Undermine,3,Normal,1,100.0,100.0,0.0,0.0,1,0,0,0,100.0,0.0
3011,Rik Reverb,Liberation of Undermine,3,Normal,3,27.6,66.7,33.3,0.0,0,1,2,0,27.6,0.0
3012,Stix Bunkjunker,Liberation of Undermine,3,Normal,3,41.8,100.0,0.0,0.0,1,0,1,1,41.8,0.0
3013,Sprocketmonger Lockenstock,Liberation of Undermine,3,Normal,1,3.0,100.0,0.0,0.0,0,0,0,1,3.0,0.0
