player_name,player_class,role,primary_spec,encounter_id,boss_name,zone_name,difficulty,difficulty_label,kills_on_boss,avg_throughput_per_second,best_throughput_per_second,latest_throughput_per_second,throughput_trend,avg_rank_percent,best_rank_percent,avg_item_level,first_kill_date,latest_kill_date
Clomp,Mage,dps,Frost,2436,Guardian of the First Ones,Sanctum of Domination,4,Heroic,6,6233,7500,7500,20.3,67.3,85.0,235.2,2021-07-19,2021-08-11
Malee,DemonHunter,dps,Havoc,2436,Guardian of the First Ones,Sanctum of Domination,4,Heroic,1,6226,6226,6226,null,7.0,7.0,297.0,2022-08-31,2022-08-31
Emss,Druid,dps,Balance,2436,Guardian of the First Ones,Sanctum of Domination,4,Heroic,2,5957,5958,5958,0.0,52.0,52.0,234.0,2021-07-28,2021-07-28
Beanus,Mage,dps,Frost,2436,Guardian of the First Ones,Sanctum of Domination,4,Heroic,1,5915,5915,5915,null,41.0,41.0,232.0,2021-09-12,2021-09-12
Magícfingers,Mage,dps,Fire,2436,Guardian of the First Ones,Sanctum of Domination,4,Heroic,5,5543,6288,6101,10.1,26.8,47.0,232.8,2021-07-28,2021-08-18
Pangbruden,Hunter,dps,BeastMastery,2436,Guardian of the First Ones,Sanctum of Domination,4,Heroic,1,5399,5399,5399,null,17.0,17.0,232.0,2021-09-12,2021-09-12
Eloomie,Druid,dps,Balance,2436,Guardian of the First Ones,Sanctum of Domination,4,Heroic,3,5116,6012,6012,17.5,26.0,44.0,231.7,2021-07-19,2021-08-04
Elood,Hunter,dps,Marksmanship,2436,Guardian of the First Ones,Sanctum of Domination,4,Heroic,3,4995,5626,3735,-25.2,24.0,31.0,232.0,2021-07-28,2021-08-11
Freshrune,DeathKnight,dps,Unholy,2436,Guardian of the First Ones,Sanctum of Domination,4,Heroic,3,4666,5969,2969,-36.4,21.7,32.0,233.0,2021-07-28,2021-08-04
Badassgal,DemonHunter,dps,Havoc,2436,Guardian of the First Ones,Sanctum of Domination,4,Heroic,4,4343,5520,1549,-64.3,12.5,19.0,233.8,2021-07-26,2021-08-25
Midasheal,Shaman,dps,Elemental,2436,Guardian of the First Ones,Sanctum of Domination,4,Heroic,1,4217,4217,4217,null,10.0,10.0,242.0,2021-08-25,2021-08-25
Pomprik,Warlock,dps,Destruction,2436,Guardian of the First Ones,Sanctum of Domination,4,Heroic,3,3379,5620,5620,66.3,12.0,34.0,228.3,2021-07-28,2021-08-04
Nüric,Hunter,dps,BeastMastery,2436,Guardian of the First Ones,Sanctum of Domination,4,Heroic,4,3360,6127,6127,82.4,9.3,28.0,224.0,2021-07-26,2021-08-18
Elfesteem,Mage,dps,Frost,2436,Guardian of the First Ones,Sanctum of Domination,4,Heroic,1,3158,3158,3158,null,3.0,3.0,286.0,2022-08-31,2022-08-31
Raslin,Shaman,dps,Elemental,2436,Guardian of the First Ones,Sanctum of Domination,4,Heroic,1,2268,2268,2268,null,1.0,1.0,281.0,2022-08-31,2022-08-31
Bammies,Paladin,healer,Holy,2436,Guardian of the First Ones,Sanctum of Domination,4,Heroic,1,4130,4130,4130,null,81.0,81.0,289.0,2022-08-31,2022-08-31
Retball,Paladin,healer,Holy,2436,Guardian of the First Ones,Sanctum of Domination,4,Heroic,1,2091,2091,2091,null,55.0,55.0,246.0,2021-09-12,2021-09-12
Yeviel,Paladin,healer,Holy,2436,Guardian of the First Ones,Sanctum of Domination,4,Heroic,9,2016,2293,1552,-23.0,60.9,81.0,236.1,2021-07-19,2021-08-25
Roaviel,Paladin,healer,Holy,2436,Guardian of the First Ones,Sanctum of Domination,4,Heroic,1,1716,1716,1716,null,34.0,34.0,226.0,2021-09-12,2021-09-12
Glimmerandy,Paladin,healer,Holy,2436,Guardian of the First Ones,Sanctum of Domination,4,Heroic,2,1584,1585,1584,0.0,32.0,32.0,231.0,2021-07-28,2021-07-28
Bií,Monk,healer,Mistweaver,2436,Guardian of the First Ones,Sanctum of Domination,4,Heroic,4,1417,1850,1850,30.6,64.5,86.0,230.3,2021-07-28,2021-08-11
Televisions,Priest,healer,Discipline,2436,Guardian of the First Ones,Sanctum of Domination,4,Heroic,1,1172,1172,7397,null,32.0,32.0,231.0,2021-07-26,2021-07-26
Momobami,Priest,healer,Holy,2436,Guardian of the First Ones,Sanctum of Domination,4,Heroic,10,480,831,573,19.4,72.5,90.0,240.4,2021-07-19,2021-09-12
Bufflesbian,Shaman,healer,Restoration,2436,Guardian of the First Ones,Sanctum of Domination,4,Heroic,3,301,498,498,65.4,51.3,68.0,244.0,2021-08-11,2021-08-25
Oxhorde,Druid,healer,Restoration,2436,Guardian of the First Ones,Sanctum of Domination,4,Heroic,1,279,279,279,null,16.0,16.0,292.0,2022-08-31,2022-08-31
Superfan,Shaman,healer,Restoration,2436,Guardian of the First Ones,Sanctum of Domination,4,Heroic,3,160,257,257,60.6,48.3,63.0,229.3,2021-07-19,2021-07-26
Brazzershill,Shaman,healer,Restoration,2436,Guardian of the First Ones,Sanctum of Domination,4,Heroic,5,22,99,5,-77.3,12.8,26.0,230.8,2021-07-28,2021-08-18
Roapriest,Priest,healer,Holy,2436,Guardian of the First Ones,Sanctum of Domination,4,Heroic,2,0,0,8675,867500.0,1.0,1.0,225.0,2021-07-19,2021-07-19
Loafulevil,Warrior,tank,Protection,2436,Guardian of the First Ones,Sanctum of Domination,4,Heroic,1,5106,5106,5106,null,92.0,92.0,241.0,2021-09-12,2021-09-12
Mechanose,DeathKnight,tank,Blood,2436,Guardian of the First Ones,Sanctum of Domination,4,Heroic,1,5057,5057,5057,null,6.0,6.0,286.0,2022-08-31,2022-08-31
Leanus,Druid,tank,Guardian,2436,Guardian of the First Ones,Sanctum of Domination,4,Heroic,9,4859,11855,11855,144.0,78.4,96.0,244.0,2021-07-19,2022-08-31
Freshrune,DeathKnight,tank,Blood,2436,Guardian of the First Ones,Sanctum of Domination,4,Heroic,4,2704,2969,2969,9.8,29.0,37.0,239.5,2021-08-11,2021-09-12
Olixbear,Druid,tank,Guardian,2436,Guardian of the First Ones,Sanctum of Domination,4,Heroic,7,2460,2806,2806,14.1,25.9,37.0,233.0,2021-07-19,2021-08-11
Eirwynzure,Druid,dps,Balance,2436,Guardian of the First Ones,Sanctum of Domination,5,Mythic,1,10806,10806,10806,null,89.0,89.0,248.0,2021-11-08,2021-11-08
Roadruid,Druid,dps,Balance,2436,Guardian of the First Ones,Sanctum of Domination,5,Mythic,1,10377,10377,10377,null,81.0,81.0,247.0,2021-11-08,2021-11-08
Grets,Warlock,dps,Demonology,2436,Guardian of the First Ones,Sanctum of Domination,5,Mythic,1,10198,10198,10198,null,78.0,78.0,250.0,2021-11-08,2021-11-08
Sonotori,Mage,dps,Frost,2436,Guardian of the First Ones,Sanctum of Domination,5,Mythic,1,9022,9022,9022,null,76.0,76.0,249.0,2021-11-08,2021-11-08
Bexx,Druid,dps,Balance,2436,Guardian of the First Ones,Sanctum of Domination,5,Mythic,1,9018,9018,9018,null,45.0,45.0,251.0,2021-11-08,2021-11-08
Retball,Paladin,dps,Retribution,2436,Guardian of the First Ones,Sanctum of Domination,5,Mythic,1,8959,8959,8959,null,32.0,32.0,250.0,2021-11-08,2021-11-08
Hobbyalkis,Rogue,dps,Subtlety,2436,Guardian of the First Ones,Sanctum of Domination,5,Mythic,1,8931,8931,8931,null,8.0,8.0,250.0,2021-11-08,2021-11-08
Gigasaga,DemonHunter,dps,Havoc,2436,Guardian of the First Ones,Sanctum of Domination,5,Mythic,1,8870,8870,8870,null,27.0,27.0,248.0,2021-11-08,2021-11-08
Clomp,Mage,dps,Frost,2436,Guardian of the First Ones,Sanctum of Domination,5,Mythic,1,8568,8568,8568,null,62.0,62.0,249.0,2021-11-08,2021-11-08
Plowdog,Hunter,dps,Survival,2436,Guardian of the First Ones,Sanctum of Domination,5,Mythic,1,8013,8013,8013,null,26.0,26.0,249.0,2021-11-08,2021-11-08
Magícfingers,Mage,dps,Fire,2436,Guardian of the First Ones,Sanctum of Domination,5,Mythic,1,7981,7981,7981,null,15.0,15.0,246.0,2021-11-08,2021-11-08
Elfeyes,Hunter,dps,Marksmanship,2436,Guardian of the First Ones,Sanctum of Domination,5,Mythic,1,7832,7832,7832,null,18.0,18.0,248.0,2021-11-08,2021-11-08
Eludemage,Mage,dps,Fire,2436,Guardian of the First Ones,Sanctum of Domination,5,Mythic,1,7734,7734,7734,null,10.0,10.0,244.0,2021-11-08,2021-11-08
Yeviel,Paladin,healer,Holy,2436,Guardian of the First Ones,Sanctum of Domination,5,Mythic,1,2824,2824,2824,null,73.0,73.0,246.0,2021-11-08,2021-11-08
Televisions,Priest,healer,Discipline,2436,Guardian of the First Ones,Sanctum of Domination,5,Mythic,1,1643,1643,1643,null,23.0,23.0,246.0,2021-11-08,2021-11-08
Momobami,Priest,healer,Holy,2436,Guardian of the First Ones,Sanctum of Domination,5,Mythic,1,790,790,790,null,77.0,77.0,248.0,2021-11-08,2021-11-08
Bufflesbian,Shaman,healer,Restoration,2436,Guardian of the First Ones,Sanctum of Domination,5,Mythic,1,743,743,743,null,72.0,72.0,250.0,2021-11-08,2021-11-08
Brazzershill,Shaman,healer,Restoration,2436,Guardian of the First Ones,Sanctum of Domination,5,Mythic,1,102,102,102,null,14.0,14.0,248.0,2021-11-08,2021-11-08
Leanus,Druid,tank,Guardian,2436,Guardian of the First Ones,Sanctum of Domination,5,Mythic,1,4650,4650,4650,null,42.0,42.0,251.0,2021-11-08,2021-11-08
Freshrune,DeathKnight,tank,Blood,2436,Guardian of the First Ones,Sanctum of Domination,5,Mythic,1,2707,2707,2707,null,0.0,0.0,247.0,2021-11-08,2021-11-08
Zerodrama,Warrior,dps,Arms,2512,Vigilant Guardian,Sepulcher of the First Ones,3,Normal,3,7682,8443,8443,9.9,91.3,96.0,254.0,2022-03-06,2022-03-16
Ellude,Mage,dps,Fire,2512,Vigilant Guardian,Sepulcher of the First Ones,3,Normal,3,7228,7818,7818,8.2,92.0,98.0,259.3,2022-03-06,2022-03-16
Hobbyalkis,Rogue,dps,Subtlety,2512,Vigilant Guardian,Sepulcher of the First Ones,3,Normal,3,7186,7479,7479,4.1,91.0,94.0,254.7,2022-03-06,2022-03-16
Temra,Warlock,dps,Demonology,2512,Vigilant Guardian,Sepulcher of the First Ones,3,Normal,3,7060,7745,6729,-4.7,88.7,97.0,258.0,2022-03-06,2022-03-16
Tám,Hunter,dps,Marksmanship,2512,Vigilant Guardian,Sepulcher of the First Ones,3,Normal,2,6995,7172,6819,-2.5,87.0,94.0,260.5,2022-03-09,2022-03-16
Grets,Warlock,dps,Demonology,2512,Vigilant Guardian,Sepulcher of the First Ones,3,Normal,2,6844,7484,7484,9.4,83.0,90.0,252.0,2022-03-09,2022-03-16
Roadruid,Druid,dps,Balance,2512,Vigilant Guardian,Sepulcher of the First Ones,3,Normal,2,6842,7339,6346,-7.2,92.5,99.0,257.5,2022-03-06,2022-03-09
Kitasun,Rogue,dps,Subtlety,2512,Vigilant Guardian,Sepulcher of the First Ones,3,Normal,1,6675,6675,6675,null,76.0,76.0,257.0,2022-03-16,2022-03-16
Sprutpiss,Warrior,dps,Arms,2512,Vigilant Guardian,Sepulcher of the First Ones,3,Normal,3,6594,7282,6213,-5.8,66.3,85.0,258.7,2022-03-06,2022-03-16
Elfeyes,Hunter,dps,Marksmanship,2512,Vigilant Guardian,Sepulcher of the First Ones,3,Normal,3,6499,7138,5922,-8.9,78.3,93.0,256.3,2022-03-06,2022-03-16
Zrenak,Shaman,dps,Enhancement,2512,Vigilant Guardian,Sepulcher of the First Ones,3,Normal,3,6273,6782,6274,0.0,62.3,79.0,255.0,2022-03-06,2022-03-16
Smanste,Rogue,dps,Assassination,2512,Vigilant Guardian,Sepulcher of the First Ones,3,Normal,1,6248,6248,6248,null,84.0,84.0,255.0,2022-03-09,2022-03-09
Turbohot,Hunter,dps,Marksmanship,2512,Vigilant Guardian,Sepulcher of the First Ones,3,Normal,3,6185,6297,6032,-2.5,73.0,84.0,256.3,2022-03-06,2022-03-16
Clomp,Mage,dps,Frost,2512,Vigilant Guardian,Sepulcher of the First Ones,3,Normal,2,6160,6450,5871,-4.7,82.0,87.0,254.0,2022-03-06,2022-03-09
Eirwynzure,Druid,dps,Balance,2512,Vigilant Guardian,Sepulcher of the First Ones,3,Normal,3,5844,6411,6411,9.7,74.0,79.0,255.3,2022-03-06,2022-03-16
Portsmouth,Mage,dps,Frost,2512,Vigilant Guardian,Sepulcher of the First Ones,3,Normal,3,3843,5760,5760,49.9,31.3,62.0,249.3,2022-03-06,2022-03-16
Roalock,Warlock,dps,Affliction,2512,Vigilant Guardian,Sepulcher of the First Ones,3,Normal,1,3828,3828,3828,null,22.0,22.0,221.0,2022-03-16,2022-03-16
Gigasaga,DemonHunter,dps,Havoc,2512,Vigilant Guardian,Sepulcher of the First Ones,3,Normal,2,3488,4256,2721,-22.0,10.0,16.0,252.0,2022-03-06,2022-03-09
Bamie,Monk,healer,Mistweaver,2512,Vigilant Guardian,Sepulcher of the First Ones,3,Normal,2,1336,1714,1714,28.3,65.5,92.0,254.0,2022-03-06,2022-03-09
Televisions,Priest,healer,Holy,2512,Vigilant Guardian,Sepulcher of the First Ones,3,Normal,3,937,1056,1013,8.1,84.7,90.0,255.7,2022-03-06,2022-03-16
Fayelina,Druid,healer,Restoration,2512,Vigilant Guardian,Sepulcher of the First Ones,3,Normal,1,858,858,858,null,91.0,91.0,261.0,2022-03-16,2022-03-16
Oxhorde,Druid,healer,Restoration,2512,Vigilant Guardian,Sepulcher of the First Ones,3,Normal,2,611,929,293,-52.0,76.0,94.0,251.0,2022-03-09,2022-03-16
Superfan,Shaman,healer,Restoration,2512,Vigilant Guardian,Sepulcher of the First Ones,3,Normal,3,154,171,138,-10.4,28.0,31.0,255.3,2022-03-06,2022-03-16
Leanus,Druid,tank,Guardian,2512,Vigilant Guardian,Sepulcher of the First Ones,3,Normal,3,3506,3647,3647,4.0,82.3,87.0,257.3,2022-03-06,2022-03-16
Freshrune,DeathKnight,tank,Blood,2512,Vigilant Guardian,Sepulcher of the First Ones,3,Normal,3,2878,3213,3213,11.6,44.7,56.0,256.0,2022-03-06,2022-03-16
Vannaheim,Paladin,dps,Retribution,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,1,20602,20602,20602,null,87.0,87.0,294.0,2022-09-12,2022-09-12
Shocksalot,Shaman,dps,Elemental,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,1,15877,15877,15877,null,79.0,79.0,298.0,2022-09-12,2022-09-12
Dhallé,DemonHunter,dps,Havoc,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,1,15778,15778,15778,null,85.0,85.0,297.0,2022-09-12,2022-09-12
Nohunter,Hunter,dps,BeastMastery,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,2,14389,17240,17240,19.8,64.0,79.0,296.0,2022-08-17,2022-09-12
Roamage,Mage,dps,Fire,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,2,14331,15519,15519,8.3,87.5,92.0,291.0,2022-08-17,2022-09-12
Zixty,DemonHunter,dps,Havoc,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,1,13885,13885,13885,null,99.0,99.0,295.0,2022-08-17,2022-08-17
Codders,Mage,dps,Fire,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,2,13600,15289,15289,12.4,99.0,99.0,287.5,2022-05-16,2022-08-17
Dialla,Priest,dps,Shadow,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,1,13010,13010,13010,null,61.0,61.0,279.0,2022-09-12,2022-09-12
Shálle,Shaman,dps,Enhancement,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,1,11635,11635,11635,null,97.0,97.0,272.0,2022-05-16,2022-05-16
Peearrino,Warrior,dps,Arms,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,2,11363,12323,12323,8.4,64.0,86.0,287.0,2022-05-16,2022-09-12
Temra,Warlock,dps,Demonology,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,8,11339,24994,24994,120.4,78.0,93.0,270.6,2022-03-02,2022-09-12
Coody,Mage,dps,Fire,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,1,11118,11118,11118,null,99.0,99.0,276.0,2022-04-13,2022-04-13
Sprutpess,Hunter,dps,Survival,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,1,10881,10881,10881,null,23.0,23.0,294.0,2022-08-17,2022-08-17
Zerodrama,Warrior,dps,Fury,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,8,10743,22786,22786,112.1,71.4,93.0,272.5,2022-03-13,2022-09-12
Zixw,Warrior,dps,Fury,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,1,10603,10603,10603,null,88.0,88.0,271.0,2022-05-16,2022-05-16
Gfuelracecar,Warlock,dps,Demonology,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,1,10515,10515,10515,null,85.0,85.0,276.0,2022-05-16,2022-05-16
Goretit,Rogue,dps,Outlaw,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,1,10478,10478,10478,null,9.0,9.0,277.0,2022-09-12,2022-09-12
Pewedp,Paladin,dps,Retribution,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,1,9848,9848,9848,null,78.0,78.0,271.0,2022-04-27,2022-04-27
Clomp,Mage,dps,Frost,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,8,9658,10958,7962,-17.6,87.0,99.0,272.6,2022-03-13,2022-08-17
Hobbyalkis,Rogue,dps,Subtlety,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,9,9426,18484,18484,96.1,60.1,88.0,270.1,2022-03-02,2022-09-12
Televisions,Priest,dps,Shadow,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,2,9405,9704,9106,-3.2,84.5,89.0,273.0,2022-04-27,2022-05-16
Roague,Rogue,dps,Subtlety,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,1,9318,9318,9318,null,73.0,73.0,269.0,2022-04-27,2022-04-27
Roadruid,Druid,dps,Balance,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,8,9220,12270,12270,33.1,88.5,99.0,265.3,2022-03-02,2022-05-16
Malee,DemonHunter,dps,Havoc,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,1,9018,9018,9018,null,33.0,33.0,293.0,2022-08-17,2022-08-17
Ellude,Mage,dps,Fire,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,7,9000,10505,10505,16.7,93.1,99.0,268.1,2022-03-13,2022-04-27
Grets,Warlock,dps,Demonology,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,3,8743,9446,8996,2.9,81.3,93.0,260.7,2022-03-16,2022-04-06
Pewedw,Warrior,dps,Fury,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,4,8577,9430,9430,9.9,62.3,79.0,267.8,2022-03-23,2022-04-13
Decksham,Shaman,dps,Enhancement,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,2,8202,8549,8549,4.2,55.5,72.0,269.0,2022-04-13,2022-04-27
Eirwynzure,Druid,dps,Balance,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,6,8014,9610,8719,8.8,81.8,97.0,260.3,2022-03-02,2022-04-06
Sprutpiss,Warrior,dps,Fury,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,7,7515,9178,9178,22.1,45.0,65.0,265.9,2022-03-02,2022-05-16
Turbohot,Hunter,dps,Marksmanship,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,8,7370,9935,9935,34.8,44.4,64.0,266.0,2022-03-02,2022-08-17
Elfeyes,Hunter,dps,Marksmanship,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,9,7339,11949,11949,62.8,51.4,88.0,265.3,2022-03-02,2022-08-17
Roukaarnaage,Druid,dps,Balance,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,1,7337,7337,7337,null,15.0,15.0,271.0,2022-08-17,2022-08-17
Zrenak,Shaman,dps,Enhancement,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,5,7040,7815,7174,1.9,46.6,71.0,258.6,2022-03-02,2022-03-30
Kitasun,Rogue,dps,Subtlety,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,1,6849,6849,6849,null,48.0,48.0,257.0,2022-03-16,2022-03-16
Gigasaga,DemonHunter,dps,Havoc,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,5,6713,9189,6834,1.8,37.0,81.0,268.4,2022-03-23,2022-08-17
Raslin,Shaman,dps,Elemental,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,1,6529,6529,6529,null,6.0,6.0,285.0,2022-09-12,2022-09-12
Smanste,Rogue,dps,Assassination,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,5,6430,7176,7176,11.6,51.8,74.0,257.8,2022-03-02,2022-03-30
Tám,Hunter,dps,Marksmanship,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,3,6248,7819,4068,-34.9,62.7,90.0,257.0,2022-03-02,2022-03-16
Eludemage,Mage,dps,Fire,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,1,6074,6074,6074,null,62.0,62.0,252.0,2022-03-02,2022-03-02
Portsmouth,Mage,dps,Frost,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,8,4512,7075,7075,56.8,24.5,60.0,260.8,2022-03-02,2022-05-16
Elood,Hunter,dps,Survival,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,1,1394,1394,1394,null,0.0,0.0,282.0,2022-08-17,2022-08-17
Sachro,Paladin,healer,Holy,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,1,2134,2134,2134,null,93.0,93.0,268.0,2022-03-23,2022-03-23
Chryses,Paladin,healer,Holy,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,1,2003,2003,2003,null,87.0,87.0,262.0,2022-03-30,2022-03-30
Mikeoxlonger,Shaman,healer,Restoration,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,1,1952,1952,1952,null,91.0,91.0,272.0,2022-05-16,2022-05-16
Bamie,Monk,healer,Mistweaver,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,10,1649,3246,3246,96.8,58.2,90.0,271.8,2022-03-02,2022-09-12
Bigboiples,Druid,healer,Restoration,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,1,1417,1417,1417,null,90.0,90.0,292.0,2022-09-12,2022-09-12
Osyraa,Paladin,healer,Holy,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,1,1269,1269,1269,null,44.0,44.0,254.0,2022-03-02,2022-03-02
Televisions,Priest,healer,Holy,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,6,904,1139,9106,907.3,84.0,92.0,262.0,2022-03-02,2022-04-13
Fayelina,Druid,healer,Restoration,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,1,821,821,821,null,92.0,92.0,261.0,2022-03-16,2022-03-16
Oxhorde,Druid,healer,Restoration,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,9,711,1658,292,-58.9,66.6,97.0,269.6,2022-03-13,2022-09-12
Sophiemae,Priest,healer,Holy,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,1,543,543,543,null,60.0,60.0,273.0,2022-05-16,2022-05-16
Horticulture,Druid,healer,Restoration,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,2,494,600,388,-21.5,66.5,82.0,281.0,2022-04-27,2022-09-12
Superfan,Shaman,healer,Restoration,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,6,260,532,209,-19.6,33.7,52.0,262.5,2022-03-02,2022-04-13
Orcgasmíc,DeathKnight,tank,Blood,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,1,15873,15873,15873,null,98.0,98.0,298.0,2022-09-12,2022-09-12
Leanus,Druid,tank,Guardian,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,10,6566,20026,20026,205.0,80.7,96.0,268.8,2022-03-02,2022-09-12
Rainasu,DemonHunter,tank,Vengeance,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,1,5216,5216,5216,null,75.0,75.0,268.0,2022-04-27,2022-04-27
Freshrune,DeathKnight,tank,Blood,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,9,4067,6334,6334,55.7,42.9,75.0,268.3,2022-03-13,2022-08-17
Zerodrama,Warrior,tank,Protection,2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,1,3440,3440,22786,null,39.0,39.0,245.0,2022-03-02,2022-03-02
Clomp,Mage,dps,Frost,2512,Vigilant Guardian,Sepulcher of the First Ones,5,Mythic,2,16878,16972,16972,0.6,94.0,95.0,274.0,2022-04-11,2022-05-02
Gatekeep,Hunter,dps,Marksmanship,2512,Vigilant Guardian,Sepulcher of the First Ones,5,Mythic,1,16065,16065,16065,null,76.0,76.0,267.0,2022-05-02,2022-05-02
Lightfootdk,DeathKnight,dps,Frost,2512,Vigilant Guardian,Sepulcher of the First Ones,5,Mythic,1,15915,15915,15915,null,82.0,82.0,273.0,2022-04-20,2022-04-20
Temra,Warlock,dps,Demonology,2512,Vigilant Guardian,Sepulcher of the First Ones,5,Mythic,3,15540,18738,18738,20.6,63.0,97.0,272.0,2022-04-11,2022-05-02
Hobbyalkis,Rogue,dps,Subtlety,2512,Vigilant Guardian,Sepulcher of the First Ones,5,Mythic,3,15296,16339,16339,6.8,78.3,89.0,271.7,2022-04-11,2022-05-02
Roadruid,Druid,dps,Balance,2512,Vigilant Guardian,Sepulcher of the First Ones,5,Mythic,2,14886,16126,16126,8.3,84.0,96.0,271.5,2022-04-11,2022-04-20
Elfeyes,Hunter,dps,Marksmanship,2512,Vigilant Guardian,Sepulcher of the First Ones,5,Mythic,3,14070,18222,18222,29.5,61.3,93.0,271.3,2022-04-11,2022-05-02
Zerodrama,Warrior,dps,Fury,2512,Vigilant Guardian,Sepulcher of the First Ones,5,Mythic,2,13992,15513,12472,-10.9,65.5,88.0,273.0,2022-04-11,2022-04-20
Gigasaga,DemonHunter,dps,Havoc,2512,Vigilant Guardian,Sepulcher of the First Ones,5,Mythic,3,13847,14902,14902,7.6,56.3,70.0,268.7,2022-04-11,2022-05-02
Ellude,Mage,dps,Fire,2512,Vigilant Guardian,Sepulcher of the First Ones,5,Mythic,3,13730,14252,14252,3.8,75.3,79.0,273.0,2022-04-11,2022-05-02
Turbohot,Hunter,dps,Marksmanship,2512,Vigilant Guardian,Sepulcher of the First Ones,5,Mythic,3,13612,14196,13274,-2.5,49.7,57.0,272.3,2022-04-11,2022-05-02
Smanste,Rogue,dps,Subtlety,2512,Vigilant Guardian,Sepulcher of the First Ones,5,Mythic,3,13597,14563,13329,-2.0,55.3,67.0,272.0,2022-04-11,2022-05-02
Gigacodders,DemonHunter,dps,Havoc,2512,Vigilant Guardian,Sepulcher of the First Ones,5,Mythic,1,13370,13370,13370,null,52.0,52.0,267.0,2022-04-11,2022-04-11
Roamage,Mage,dps,Fire,2512,Vigilant Guardian,Sepulcher of the First Ones,5,Mythic,1,13140,13140,13140,null,61.0,61.0,275.0,2022-05-02,2022-05-02
Decksham,Shaman,dps,Enhancement,2512,Vigilant Guardian,Sepulcher of the First Ones,5,Mythic,2,12838,14500,14500,12.9,46.5,72.0,267.5,2022-04-11,2022-04-20
