player_name,player_class,role,primary_spec,encounter_id,boss_name,zone_name,difficulty,difficulty_label,kills_on_boss,avg_throughput_per_second,best_throughput_per_second,latest_throughput_per_second,throughput_trend,avg_rank_percent,best_rank_percent,avg_item_level,first_kill_date,latest_kill_date
Kusío,Rogue,dps,Assassination,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,743216,743216,743216,null,20.0,20.0,613.0,2025-01-13,2025-01-13
Bamoo,Druid,dps,Balance,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,736223,736223,736223,null,28.0,28.0,597.0,2024-10-06,2024-10-06
Socialqs,Paladin,dps,Retribution,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,691382,691382,691382,null,12.0,12.0,607.0,2024-10-06,2024-10-06
Netwoodle,Mage,dps,Arcane,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,687011,687011,687011,null,13.0,13.0,601.0,2024-10-06,2024-10-06
Edarn,Mage,dps,Frost,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,665872,665872,665872,null,17.0,17.0,598.0,2024-12-29,2024-12-29
Lazajin,Warlock,dps,Affliction,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,634011,634011,634011,null,6.0,6.0,603.0,2024-09-16,2024-09-16
Yearningprie,Priest,dps,Shadow,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,627821,627821,627821,null,16.0,16.0,611.0,2024-11-24,2024-11-24
Serthorn,Warrior,dps,Arms,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,626173,626173,626173,null,12.0,12.0,609.0,2024-10-13,2024-10-13
Monsterkuk,DemonHunter,dps,Havoc,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,2,607729,1211864,1211864,99.4,39.5,78.0,607.5,2024-10-06,2024-10-13
Belcarra,Rogue,dps,Assassination,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,602394,602394,602394,null,8.0,8.0,600.0,2024-10-13,2024-10-13
Wannerdk,DeathKnight,dps,Frost,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,570885,570885,570885,null,9.0,9.0,600.0,2024-10-13,2024-10-13
Anakrai,Evoker,dps,Augmentation,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,552457,552457,552457,null,12.0,12.0,594.0,2024-10-06,2024-10-06
Silliest,Hunter,dps,Marksmanship,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,535473,535473,535473,null,8.0,8.0,587.0,2024-10-06,2024-10-06
Codywood,Shaman,dps,Enhancement,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,535346,535346,535346,null,6.0,6.0,604.0,2024-10-06,2024-10-06
Fibres,Mage,dps,Arcane,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,504351,504351,504351,null,9.0,9.0,606.0,2024-11-24,2024-11-24
Badraider,Warlock,dps,Destruction,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,502669,502669,502669,null,5.0,5.0,589.0,2024-10-13,2024-10-13
Ínflámes,Shaman,dps,Enhancement,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,502382,502382,502382,null,5.0,5.0,612.0,2024-10-06,2024-10-06
Akitype,Druid,dps,Feral,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,488149,488149,488149,null,14.0,14.0,597.0,2024-11-24,2024-11-24
Roux,Rogue,dps,Assassination,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,471832,471832,471832,null,10.0,10.0,605.0,2024-11-24,2024-11-24
Gnamethistle,Monk,healer,Mistweaver,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,276566,276566,276566,null,81.0,81.0,626.0,2024-11-24,2024-11-24
Cuddles,Priest,healer,Discipline,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,222616,222616,980261,null,84.0,84.0,612.0,2024-10-02,2024-10-02
Neyaara,Paladin,healer,Holy,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,4,166482,185982,185982,11.7,98.8,99.0,604.5,2024-09-16,2024-10-06
Descendents,Monk,healer,Mistweaver,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,163784,163784,163784,null,49.0,49.0,594.0,2024-11-24,2024-11-24
Labyrìnth,Monk,healer,Mistweaver,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,3,160733,310861,310861,93.4,73.3,85.0,621.0,2024-10-06,2024-11-24
Momobami,Priest,healer,Holy,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,6,132790,154762,113182,-14.8,80.5,93.0,609.8,2024-09-16,2024-10-09
Sophiemae,Priest,healer,Holy,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,132544,132544,132544,null,83.0,83.0,604.0,2024-10-06,2024-10-06
Bigboiples,Druid,healer,Restoration,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,6,84783,99922,99922,17.9,75.0,89.0,608.5,2024-09-16,2024-10-09
Janaka,Priest,healer,Holy,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,83942,83942,83942,null,20.0,20.0,611.0,2025-01-13,2025-01-13
Peesham,Shaman,healer,Restoration,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,80525,80525,80525,null,82.0,82.0,590.0,2024-10-06,2024-10-06
Willowwisp,Druid,healer,Restoration,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,5,76612,84430,78541,2.5,65.2,75.0,606.6,2024-09-16,2024-10-02
Zób,Shaman,healer,Restoration,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,68120,68120,68120,null,78.0,78.0,622.0,2024-10-13,2024-10-13
Magicwingers,Evoker,healer,Preservation,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,8,42370,84079,51625,21.8,41.4,81.0,617.1,2024-09-16,2025-01-13
Rorovoker,Evoker,healer,Preservation,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,4,36806,39342,35807,-2.7,37.8,46.0,608.3,2024-09-18,2024-10-02
Fruitgum,Shaman,healer,Restoration,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,3,34735,45172,45172,30.0,54.3,58.0,610.3,2024-10-06,2024-11-24
Superfan,Shaman,healer,Restoration,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,28227,28227,28227,null,59.0,59.0,592.0,2024-09-16,2024-09-16
Loknahar,Shaman,healer,Restoration,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,25983,25983,25983,null,49.0,49.0,613.0,2024-10-09,2024-10-09
Bufflesbian,Shaman,healer,Restoration,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,2,22572,36956,8189,-63.7,36.5,52.0,593.5,2024-11-24,2024-12-29
Panster,Shaman,healer,Restoration,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,20547,20547,20547,null,33.0,33.0,605.0,2025-01-13,2025-01-13
Cherven,DeathKnight,tank,Blood,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,937516,937516,937516,null,83.0,83.0,626.0,2024-12-29,2024-12-29
Budgetgoku,Paladin,tank,Protection,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,883389,883389,883389,null,94.0,94.0,625.0,2024-11-24,2024-11-24
Malloc,DemonHunter,tank,Vengeance,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,767647,767647,767647,null,95.0,95.0,612.0,2024-10-06,2024-10-06
Chèx,Paladin,tank,Protection,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,727630,727630,727630,null,69.0,69.0,635.0,2025-01-13,2025-01-13
Lenus,DemonHunter,tank,Vengeance,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,6,646032,718524,718524,11.2,87.2,91.0,612.0,2024-09-16,2024-10-09
Appletiser,Druid,tank,Guardian,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,615890,615890,615890,null,91.0,91.0,617.0,2024-10-09,2024-10-09
Nazrelina,Warrior,tank,Protection,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,599652,599652,599652,null,52.0,52.0,636.0,2025-01-13,2025-01-13
Leanus,Druid,tank,Guardian,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,509501,509501,509501,null,56.0,56.0,618.0,2024-12-29,2024-12-29
Getfresh,Warrior,tank,Protection,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,4,486693,520296,487627,0.2,44.0,57.0,611.8,2024-09-18,2024-10-02
Lúcífér,DeathKnight,tank,Blood,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,2,441774,473194,410354,-7.1,36.5,47.0,618.0,2024-10-06,2024-10-13
Deredeemer,Paladin,tank,Protection,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,432754,432754,432754,null,22.0,22.0,602.0,2024-11-24,2024-11-24
Freshrune,DeathKnight,tank,Blood,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,2,421037,427022,415052,-1.4,31.5,36.0,607.5,2024-09-16,2024-10-13
Lubrikator,Warlock,dps,Destruction,2919,Broodtwister Ovi'nax,Nerub-ar Palace,5,Mythic,1,2712675,2712675,2712675,null,98.0,98.0,636.0,2024-11-25,2024-11-25
Iustitiæ,Warrior,dps,Fury,2919,Broodtwister Ovi'nax,Nerub-ar Palace,5,Mythic,1,2575830,2575830,2575830,null,51.0,51.0,630.0,2024-11-25,2024-11-25
Wannerdk,DeathKnight,dps,Frost,2919,Broodtwister Ovi'nax,Nerub-ar Palace,5,Mythic,1,2443828,2443828,2443828,null,49.0,49.0,631.0,2024-11-25,2024-11-25
Unrecorded,Mage,dps,Frost,2919,Broodtwister Ovi'nax,Nerub-ar Palace,5,Mythic,1,2357232,2357232,2357232,null,63.0,63.0,632.0,2024-11-25,2024-11-25
Bigbeartank,Druid,dps,Balance,2919,Broodtwister Ovi'nax,Nerub-ar Palace,5,Mythic,1,2287217,2287217,2287217,null,59.0,59.0,630.0,2024-11-25,2024-11-25
Explorer,Paladin,dps,Retribution,2919,Broodtwister Ovi'nax,Nerub-ar Palace,5,Mythic,1,2170931,2170931,2170931,null,53.0,53.0,635.0,2024-11-25,2024-11-25
Larssonoker,Evoker,dps,Devastation,2919,Broodtwister Ovi'nax,Nerub-ar Palace,5,Mythic,1,2160095,2160095,2160095,null,54.0,54.0,632.0,2024-11-25,2024-11-25
Hobbyalkis,Rogue,dps,Assassination,2919,Broodtwister Ovi'nax,Nerub-ar Palace,5,Mythic,1,2129400,2129400,2129400,null,23.0,23.0,628.0,2024-11-25,2024-11-25
Mægisk,Rogue,dps,Outlaw,2919,Broodtwister Ovi'nax,Nerub-ar Palace,5,Mythic,1,1976142,1976142,1976142,null,41.0,41.0,634.0,2024-11-25,2024-11-25
Ashyminge,Mage,dps,Frost,2919,Broodtwister Ovi'nax,Nerub-ar Palace,5,Mythic,1,1941717,1941717,1941717,null,18.0,18.0,631.0,2024-11-25,2024-11-25
Temitiri,Shaman,dps,Elemental,2919,Broodtwister Ovi'nax,Nerub-ar Palace,5,Mythic,1,1904339,1904339,1904339,null,25.0,25.0,632.0,2024-11-25,2024-11-25
Axonea,Shaman,dps,Enhancement,2919,Broodtwister Ovi'nax,Nerub-ar Palace,5,Mythic,1,1842215,1842215,1842215,null,30.0,30.0,627.0,2024-11-25,2024-11-25
Turbohot,Hunter,dps,BeastMastery,2919,Broodtwister Ovi'nax,Nerub-ar Palace,5,Mythic,1,1776213,1776213,1776213,null,49.0,49.0,630.0,2024-11-25,2024-11-25
Yearning,Monk,dps,Windwalker,2919,Broodtwister Ovi'nax,Nerub-ar Palace,5,Mythic,1,1437256,1437256,1437256,null,9.0,9.0,634.0,2024-11-25,2024-11-25
Momobami,Priest,healer,Holy,2919,Broodtwister Ovi'nax,Nerub-ar Palace,5,Mythic,1,197845,197845,197845,null,53.0,53.0,629.0,2024-11-25,2024-11-25
Bigboiples,Druid,healer,Restoration,2919,Broodtwister Ovi'nax,Nerub-ar Palace,5,Mythic,1,125831,125831,125831,null,71.0,71.0,633.0,2024-11-25,2024-11-25
Magicwingers,Evoker,healer,Preservation,2919,Broodtwister Ovi'nax,Nerub-ar Palace,5,Mythic,1,53553,53553,53553,null,76.0,76.0,630.0,2024-11-25,2024-11-25
Loknahar,Shaman,healer,Restoration,2919,Broodtwister Ovi'nax,Nerub-ar Palace,5,Mythic,1,46910,46910,46910,null,51.0,51.0,628.0,2024-11-25,2024-11-25
Lenus,DemonHunter,tank,Vengeance,2919,Broodtwister Ovi'nax,Nerub-ar Palace,5,Mythic,1,1280432,1280432,1280432,null,75.0,75.0,635.0,2024-11-25,2024-11-25
Freshrune,DeathKnight,tank,Blood,2919,Broodtwister Ovi'nax,Nerub-ar Palace,5,Mythic,1,835643,835643,835643,null,26.0,26.0,629.0,2024-11-25,2024-11-25
Flandreh,Priest,dps,Shadow,2920,Nexus-Princess Ky'veza,Nerub-ar Palace,3,Normal,1,1323259,1323259,1323259,null,97.0,97.0,629.0,2024-10-30,2024-10-30
Splaff,Shaman,dps,Enhancement,2920,Nexus-Princess Ky'veza,Nerub-ar Palace,3,Normal,1,1302813,1302813,1302813,null,91.0,91.0,631.0,2024-10-30,2024-10-30
Swordofgodd,Paladin,dps,Retribution,2920,Nexus-Princess Ky'veza,Nerub-ar Palace,3,Normal,1,1195600,1195600,1195600,null,90.0,90.0,620.0,2024-10-30,2024-10-30
Bigboiples,Druid,dps,Balance,2920,Nexus-Princess Ky'veza,Nerub-ar Palace,3,Normal,1,1183358,1183358,1183358,null,90.0,90.0,628.0,2024-11-03,2024-11-03
Skinkemand,Warlock,dps,Destruction,2920,Nexus-Princess Ky'veza,Nerub-ar Palace,3,Normal,1,1181045,1181045,1181045,null,88.0,88.0,615.0,2024-10-30,2024-10-30
Skînwalker,Druid,dps,Balance,2920,Nexus-Princess Ky'veza,Nerub-ar Palace,3,Normal,1,1046085,1046085,1046085,null,76.0,76.0,614.0,2024-10-30,2024-10-30
Mesvoker,Evoker,dps,Augmentation,2920,Nexus-Princess Ky'veza,Nerub-ar Palace,3,Normal,1,1032422,1032422,1032422,null,99.0,99.0,616.0,2024-09-25,2024-09-25
Turbohot,Hunter,dps,BeastMastery,2920,Nexus-Princess Ky'veza,Nerub-ar Palace,3,Normal,4,1022919,1350154,1350154,32.0,91.8,97.0,607.0,2024-09-11,2024-11-03
Mægisk,Rogue,dps,Outlaw,2920,Nexus-Princess Ky'veza,Nerub-ar Palace,3,Normal,4,1011551,1408329,1408329,39.2,96.0,99.0,609.5,2024-09-11,2024-11-03
Wanchan,Mage,dps,Arcane,2920,Nexus-Princess Ky'veza,Nerub-ar Palace,3,Normal,9,997693,1227321,1227321,23.0,93.6,99.0,612.9,2024-09-11,2024-11-03
Alexbuh,Hunter,dps,Marksmanship,2920,Nexus-Princess Ky'veza,Nerub-ar Palace,3,Normal,4,996189,1161402,1161402,16.6,95.8,99.0,600.8,2024-09-11,2024-11-03
Unrecorded,Mage,dps,Arcane,2920,Nexus-Princess Ky'veza,Nerub-ar Palace,3,Normal,4,944672,1057782,1057782,12.0,93.3,97.0,604.0,2024-09-15,2024-09-25
Temitiri,Shaman,dps,Elemental,2920,Nexus-Princess Ky'veza,Nerub-ar Palace,3,Normal,5,940408,1069931,1069931,13.8,96.8,99.0,608.6,2024-09-15,2024-10-02
Lyonwarr,Warrior,dps,Fury,2920,Nexus-Princess Ky'veza,Nerub-ar Palace,3,Normal,3,925866,1010015,1010015,9.1,96.7,99.0,602.3,2024-09-11,2024-09-18
Bundabandit,Rogue,dps,Assassination,2920,Nexus-Princess Ky'veza,Nerub-ar Palace,3,Normal,5,924286,1139538,1139538,23.3,94.8,99.0,608.6,2024-09-15,2024-10-02
Explorer,Paladin,dps,Retribution,2920,Nexus-Princess Ky'veza,Nerub-ar Palace,3,Normal,4,918363,1154575,1154575,25.7,88.0,98.0,609.5,2024-09-11,2024-11-03
Lubrikator,Warlock,dps,Affliction,2920,Nexus-Princess Ky'veza,Nerub-ar Palace,3,Normal,4,906032,1003979,1003979,10.8,90.5,97.0,606.3,2024-09-11,2024-11-03
Ashyminge,Mage,dps,Arcane,2920,Nexus-Princess Ky'veza,Nerub-ar Palace,3,Normal,5,892855,1149883,1149883,28.8,84.6,97.0,607.8,2024-09-11,2024-10-02
Coffeebeans,Shaman,dps,Enhancement,2920,Nexus-Princess Ky'veza,Nerub-ar Palace,3,Normal,1,883361,883361,883361,null,62.0,62.0,608.0,2024-10-30,2024-10-30
Verressa,Priest,dps,Shadow,2920,Nexus-Princess Ky'veza,Nerub-ar Palace,3,Normal,1,867202,867202,867202,null,65.0,65.0,618.0,2024-10-30,2024-10-30
Cocainekate,Warlock,dps,Affliction,2920,Nexus-Princess Ky'veza,Nerub-ar Palace,3,Normal,3,850184,932239,932239,9.7,90.7,97.0,600.3,2024-09-11,2024-09-18
Wunslayer,Warrior,dps,Fury,2920,Nexus-Princess Ky'veza,Nerub-ar Palace,3,Normal,1,843522,843522,843522,null,90.0,90.0,611.0,2024-09-25,2024-09-25
Larssonhter,Hunter,dps,Marksmanship,2920,Nexus-Princess Ky'veza,Nerub-ar Palace,3,Normal,2,833469,838836,828103,-0.6,78.0,83.0,601.0,2024-09-29,2024-11-03
