player_name,player_class,realm,role,primary_spec,kills_tracked,avg_throughput_per_second,best_throughput_per_second,avg_rank_percent,best_rank_percent,avg_item_level,last_seen_date
Hetman,Paladin,BurningLegion,dps,Retribution,12,4022,5652,64.3,87.0,221.0,2021-03-14
Voidonomus,Priest,Kazzak,dps,Shadow,1,3964,3964,64.0,64.0,242.0,2021-08-15
Pará,Paladin,BurningLegion,dps,Retribution,2,3914,4584,52.0,56.0,220.0,2021-03-28
Truidi,Druid,Drak'thul,dps,Balance,1,3894,3894,57.0,57.0,217.0,2021-04-18
Falcher,Mage,Draenor,dps,Frost,1,3889,3889,69.0,69.0,219.0,2021-03-12
Tresnjica,Mage,Kazzak,dps,Fire,2,3887,4510,62.0,72.0,214.0,2021-03-12
Sigmarek,Druid,BurningBlade,dps,Balance,1,3873,3873,42.0,42.0,216.0,2021-04-04
Ährenmonk,Monk,Eredar,dps,Windwalker,3,3863,4363,34.0,52.0,203.0,2021-02-28
Yukinosa,Monk,Kazzak,dps,Windwalker,1,3857,3857,69.0,69.0,217.0,2021-03-07
Pubehead,Hunter,TwistingNether,dps,Marksmanship,3,3846,4108,52.0,63.0,207.0,2021-04-07
Toukä,Rogue,Tyrande,dps,Outlaw,2,3842,4471,31.5,35.0,230.0,2021-08-10
Everilde,Warlock,DefiasBrotherhood,dps,Affliction,1,3839,3839,35.0,35.0,207.0,2021-01-25
Waalt,DeathKnight,Ragnaros,dps,Unholy,1,3809,3809,35.0,35.0,219.0,2021-04-04
Inthesink,Shaman,TwistingNether,dps,Elemental,6,3753,4915,36.2,52.0,189.0,2021-03-21
Ballgag,DeathKnight,TwistingNether,dps,Unholy,39,3707,5085,37.5,75.0,217.0,2021-02-24
Inthemud,Monk,TwistingNether,dps,Windwalker,95,3705,6184,47.3,93.0,209.4,2021-03-17
Fesad,Warlock,TwistingNether,dps,Affliction,24,3666,4984,37.3,75.0,209.9,2021-03-14
Красауа,DemonHunter,Ревущийфьорд,dps,Havoc,3,3642,5511,33.7,53.0,235.0,2021-08-15
Arkoudeos,Druid,Twilight'sHammer,dps,Balance,2,3639,4348,61.0,72.0,221.0,2021-03-12
Lágértha,Mage,Bloodhoof,dps,Fire,2,3637,4020,14.5,22.0,224.0,2021-09-02
Gestbarriere,Warrior,Hyjal,dps,Fury,2,3626,3727,34.0,58.0,209.0,2021-03-12
Banjoman,DeathKnight,TwistingNether,dps,Unholy,25,3626,4793,36.3,73.0,214.0,2021-02-10
Trixiqt,Rogue,Blackrock,dps,Assassination,5,3607,4642,56.4,64.0,211.0,2021-03-25
Bami,Mage,TwistingNether,dps,Arcane,127,3588,5192,53.0,97.0,219.1,2021-04-07
Opgfán,DeathKnight,Blackrock,dps,Frost,3,3585,4825,19.3,26.0,228.0,2021-09-02
Hashasin,Rogue,Dunemaul,dps,Assassination,4,3578,5684,28.8,51.0,213.0,2021-03-12
Leiya,Warlock,Draenor,dps,Affliction,10,3578,5441,62.1,89.0,201.6,2021-01-31
Unowen,Hunter,TwistingNether,dps,Marksmanship,33,3524,5303,42.4,87.0,218.6,2021-02-24
Wandspiegel,DemonHunter,Blackrock,dps,Havoc,5,3508,4594,41.2,58.0,200.0,2021-02-07
Worstplayr,Rogue,TwistingNether,dps,Outlaw,1,3499,3499,52.0,52.0,219.0,2021-03-12
Dekukun,Priest,Eredar,dps,Shadow,1,3493,3493,66.0,66.0,217.0,2021-03-12
Oblah,Monk,TwistingNether,dps,Windwalker,6,3485,5396,12.8,24.0,220.2,2021-07-21
Gomezz,Mage,Talnivarr,dps,Frost,1,3481,3481,56.0,56.0,224.0,2021-04-04
Malkarion,Hunter,TwistingNether,dps,Marksmanship,8,3479,4593,36.6,65.0,206.0,2021-03-28
Kerpmage,Mage,TarrenMill,dps,Fire,1,3474,3474,42.0,42.0,210.0,2021-03-14
Krupnikforya,Paladin,Thrall,dps,Retribution,1,3470,3470,53.0,53.0,204.0,2021-03-12
Sakaira,Mage,Blackrock,dps,Fire,8,3432,4141,47.1,70.0,207.0,2021-02-07
Norgtar,Hunter,Ysondre,dps,Marksmanship,1,3427,3427,34.0,34.0,227.0,2021-08-10
Magëstik,Priest,Hyjal,dps,Shadow,2,3414,4469,22.0,25.0,215.0,2021-04-04
Fogstar,Hunter,Kazzak,dps,Marksmanship,6,3403,4413,38.8,68.0,216.0,2021-03-28
Slimster,Monk,TwistingNether,dps,Windwalker,5,3395,4830,40.4,67.0,215.6,2021-03-28
Verit,Hunter,Thrall,dps,Marksmanship,1,3354,3354,41.0,41.0,215.0,2021-04-18
Actá,Rogue,Ragnaros,dps,Assassination,5,3325,4419,19.4,33.0,210.0,2021-03-12
