encounter_id,boss_name,zone_id,zone_name,difficulty,difficulty_label,total_pulls,total_kills,total_wipes,best_kill_seconds,avg_pull_duration_seconds,is_killed,first_kill_date,last_attempt_date,wipe_to_kill_ratio
2786,"Tindral Sageswift, Seer of the Flame",35,"Amirdrassil, the Dream's Hope",3,Normal,5,4,1,181,266.8,True,2023-11-15,2024-05-08,0.25
3122,The Soul Hunters,44,Manaforge Omega,4,Heroic,11,9,2,264,323.45454545454544,True,2025-08-18,2025-12-01,0.22
2728,Council of Dreams,35,"Amirdrassil, the Dream's Hope",3,Normal,4,4,0,89,140.0,True,2023-11-15,2024-05-08,0.0
2824,Smolderon,35,"Amirdrassil, the Dream's Hope",4,Heroic,60,13,47,185,210.11666666666667,True,2023-11-21,2024-06-19,3.62
3012,Stix Bunkjunker,42,Liberation of Undermine,4,Heroic,25,10,15,235,241.48,True,2025-03-10,2025-07-30,1.5
2398,Shriekwing,26,Castle Nathria,5,Mythic,14,12,2,259,346.14285714285717,True,2021-02-03,2021-03-31,0.17
2418,Huntsman Altimor,26,Castle Nathria,5,Mythic,41,13,28,283,240.17073170731706,True,2021-02-03,2021-04-05,2.15
2422,Kel'Thuzad,28,Sanctum of Domination,5,Mythic,81,2,79,416,174.20987654320987,True,2021-12-08,2022-02-25,39.5
3129,Plexus Sentinel,44,Manaforge Omega,3,Normal,4,3,1,126,185.75,True,2025-08-13,2025-11-23,0.33
2635,"Dathea, Ascended",31,Vault of the Incarnates,3,Normal,10,6,4,132,196.1,True,2022-12-14,2024-04-29,0.67
2431,Fatescribe Roh-Kalo,28,Sanctum of Domination,4,Heroic,40,8,32,360,294.075,True,2021-07-26,2022-08-31,4.0
3133,Fractillus,44,Manaforge Omega,5,Mythic,68,4,64,276,178.48529411764707,True,2025-09-29,2025-10-15,16.0
3135,"Dimensius, the All-Devouring",44,Manaforge Omega,4,Heroic,18,1,17,471,219.55555555555554,True,2025-09-01,2025-09-01,17.0
2737,Volcoross,35,"Amirdrassil, the Dream's Hope",5,Mythic,14,7,7,230,209.64285714285714,True,2023-12-11,2024-05-13,1.0
2688,"Kazzara, the Hellforged",33,"Aberrus, the Shadowed Crucible",3,Normal,6,6,0,117,165.33333333333334,True,2023-05-10,2024-05-01,0.0
2537,The Jailer,29,Sepulcher of the First Ones,4,Heroic,91,3,88,487,215.93406593406593,True,2022-04-25,2022-09-12,29.33
2436,Guardian of the First Ones,28,Sanctum of Domination,3,Normal,11,5,6,205,212.9090909090909,True,2021-08-08,2021-09-02,1.2
