player_name,player_class,total_deaths,kills_tracked,deaths_per_kill,most_common_killing_blow,most_common_killing_blow_count,zones_died_in,last_death_timestamp_ms
Solkarrow,Hunter,1,3,0.33,Frailty,1,"[""Manaforge Omega""]",2897779
Sophiemae,Priest,45,143,0.31,Reckless Impact,3,"[""Aberrus, the Shadowed Crucible"",""Nerub-ar Palace"",""Liberation of Undermine""]",10462409
Lyoncursed,Warrior,13,42,0.31,Melee,2,"[""Nerub-ar Palace"",""Vault of the Incarnates""]",8126864
Lúcífér,DeathKnight,36,124,0.29,Melee,4,"[""Nerub-ar Palace""]",363910013
Tiggsy,Paladin,2,7,0.29,Scatterblast Canisters,1,"[""Liberation of Undermine""]",4773961
Piano,Rogue,2,7,0.29,Electric Lash,1,"[""Vault of the Incarnates""]",10812086
Zapados,Shaman,2,7,0.29,Crackling Energy,1,"[""Vault of the Incarnates""]",10802045
Appletiser,Druid,29,106,0.27,Blowback,5,"[""Blackrock Depths"",""Nerub-ar Palace""]",9751723
Larssondk,DeathKnight,23,84,0.27,Melee,5,"[""Nerub-ar Palace"",""Vault of the Incarnates"",""Manaforge Omega""]",6929479
Mombangsteen,Rogue,7,26,0.27,Scouring Eternity,1,"[""Vault of the Incarnates""]",12472949
Hpal,Paladin,3,11,0.27,Crystalline Shockwave,1,"[""Manaforge Omega""]",4792110
Vaporize,Mage,2,8,0.25,Cataclysmic Entropy,1,"[""Nerub-ar Palace""]",2829083
Thaien,Paladin,2,8,0.25,Acrid Presence,1,"[""Nerub-ar Palace""]",3418871
Gnomslayer,Rogue,2,8,0.25,Goblin-guided Rocket,1,"[""Liberation of Undermine""]",5072212
Corpor,Mage,2,8,0.25,Acrid Presence,1,"[""Nerub-ar Palace""]",3428820
Alturiak,Shaman,2,8,0.25,Atomized,1,"[""Nerub-ar Palace""]",2828873
Malmohus,Shaman,2,8,0.25,Acrid Presence,1,"[""Nerub-ar Palace""]",4332831
Tyseras,Priest,2,8,0.25,Impaled,1,"[""Nerub-ar Palace""]",2935728
Ærra,DemonHunter,2,8,0.25,Devour,1,"[""Nerub-ar Palace""]",4310439
Pixls,Paladin,2,8,0.25,Gossamer Burst,1,"[""Vault of the Incarnates""]",2579657
Swordofgodd,Paladin,2,8,0.25,Acrid Presence,1,"[""Nerub-ar Palace""]",3418870
Meleepriest,Priest,2,8,0.25,Acrid Presence,1,"[""Nerub-ar Palace""]",3428367
Starson,Hunter,2,8,0.25,Cataclysmic Entropy,1,"[""Nerub-ar Palace""]",3518020
Fingut,Mage,2,8,0.25,Electric Blast,1,"[""Liberation of Undermine""]",4695411
Doomslinger,DemonHunter,2,8,0.25,Atomized,1,"[""Nerub-ar Palace""]",2828073
Миссаденея,Mage,2,8,0.25,Shaken Earth,1,"[""Liberation of Undermine""]",4692526
Mirh,Warrior,2,8,0.25,Melee,2,"[""Nerub-ar Palace""]",4322210
Ninnyzplash,DemonHunter,1,4,0.25,Poison Burst,1,"[""Nerub-ar Palace""]",3747960
Drakaro,Druid,1,4,0.25,Adarus' Soul,1,"[""Manaforge Omega""]",2896398
Luzihunt,Hunter,1,4,0.25,Crystalline Shockwave,1,"[""Manaforge Omega""]",3456946
Bigwargold,Warrior,1,4,0.25,The Hunt,1,"[""Manaforge Omega""]",2653010
Sledgehammer,Paladin,1,4,0.25,Astral Burn,1,"[""Manaforge Omega""]",2110184
Demonhu,DemonHunter,1,4,0.25,Overinfusion Burst,1,"[""Manaforge Omega""]",1242688
Looziner,Warlock,1,4,0.25,Atomized,1,"[""Nerub-ar Palace""]",2422294
Érlenður,Paladin,1,4,0.25,Adarus' Soul,1,"[""Manaforge Omega""]",2896401
Lacamorraftw,Shaman,1,4,0.25,Adarus' Soul,1,"[""Manaforge Omega""]",2896395
Poluxena,DemonHunter,1,4,0.25,Dark Residue,1,"[""Manaforge Omega""]",2702925
Jôchên,Paladin,1,4,0.25,Poison Burst,1,"[""Nerub-ar Palace""]",3761569
Nirmfonte,Mage,1,4,0.25,Melee,1,"[""Manaforge Omega""]",2785678
Asdaadd,Shaman,5,21,0.24,Flaming Germination,1,"[""Amirdrassil, the Dream's Hope""]",8440840
Tichonus,Monk,4,18,0.22,Black Sepsis,1,"[""Nerub-ar Palace""]",5894755
Malnes,Evoker,4,18,0.22,Umbral Annihilation,2,"[""Aberrus, the Shadowed Crucible""]",9814909
Pistachios,Monk,10,47,0.21,Grasp From Beyond,2,"[""Nerub-ar Palace""]",9449470
Gigacodders,DemonHunter,30,148,0.2,Melee,4,"[""Liberation of Undermine"",""VS / DR / MQD"",""Nerub-ar Palace""]",7820109
Olliegirl,DemonHunter,3,15,0.2,Crackling Energy,1,"[""Vault of the Incarnates""]",10812087
Tylenne,Hunter,1,5,0.2,Unstable Shrapnel,1,"[""Liberation of Undermine""]",2026798
Freshrune,DeathKnight,107,551,0.19,Melee,28,"[""Vault of the Incarnates"",""Blackrock Depths"",""Nerub-ar Palace""]",364163771
Sprutpesse,Priest,7,36,0.19,Umbral Annihilation,2,"[""Aberrus, the Shadowed Crucible"",""Amirdrassil, the Dream's Hope""]",9504014
Wingseb,Paladin,5,27,0.19,Blaze,1,"[""Amirdrassil, the Dream's Hope"",""Aberrus, the Shadowed Crucible""]",4615311
Linirune,DeathKnight,3,16,0.19,Cataclysmic Entropy,1,"[""Nerub-ar Palace""]",4645499
Horticulture,Druid,15,85,0.18,Oblivion,1,"[""Nerub-ar Palace"",""Vault of the Incarnates""]",12466111
Coddie,Priest,4,22,0.18,Cosmic Ascension,1,"[""Vault of the Incarnates""]",8421327
Sotruebestie,Druid,2,11,0.18,Scatterblast Canisters,1,"[""Liberation of Undermine""]",9644605
Ilovebigd,Druid,2,11,0.18,Pay-Line,1,"[""Liberation of Undermine""]",4329599
Aideên,DemonHunter,4,24,0.17,Lightning Breath,1,"[""Amirdrassil, the Dream's Hope"",""Vault of the Incarnates""]",4211898
Fallingdust,Rogue,1,6,0.17,Oblivion,1,"[""Vault of the Incarnates""]",8133007
Mashin,Druid,39,237,0.16,Violent Eruption,2,"[""Amirdrassil, the Dream's Hope"",""Vault of the Incarnates"",""Liberation of Undermine"",""Aberrus, the Shadowed Crucible""]",10448414
Larssonhter,Hunter,29,191,0.15,Devour,3,"[""Manaforge Omega"",""Aberrus, the Shadowed Crucible"",""Amirdrassil, the Dream's Hope"",""Nerub-ar Palace""]",9729421
Bufflesbian,Shaman,18,122,0.15,Venom Nova,3,"[""Nerub-ar Palace"",""Liberation of Undermine""]",8533547
Bii,Priest,3,20,0.15,Web Reave,1,"[""Nerub-ar Palace""]",364157430
Cementstuck,Paladin,2,13,0.15,Crackling Energy,1,"[""Vault of the Incarnates""]",10804065
Clomp,Mage,69,477,0.14,Melee,6,"[""Amirdrassil, the Dream's Hope"",""Aberrus, the Shadowed Crucible"",""Nerub-ar Palace"",""Vault of the Incarnates""]",19511750
Lyondwarf,Mage,1,7,0.14,Hurricane Wing,1,"[""Vault of the Incarnates""]",10380720
Doslashi,DemonHunter,1,7,0.14,Spectral Slam,1,"[""Nerub-ar Palace""]",1398997
Fawning,Priest,1,7,0.14,Crackling Energy,1,"[""Vault of the Incarnates""]",10804067
Verressa,Priest,1,7,0.14,Cataclysmic Entropy,1,"[""Nerub-ar Palace""]",2831056
Leanus,Druid,74,554,0.13,Melee,9,"[""Nerub-ar Palace"",""Vault of the Incarnates"",""Manaforge Omega"",""Liberation of Undermine""]",10816094
Calisae,Evoker,13,102,0.13,Violent Eruption,3,"[""Aberrus, the Shadowed Crucible"",""Vault of the Incarnates""]",5599710
Needsedative,Hunter,1,8,0.13,Cataclysmic Entropy,1,"[""Nerub-ar Palace""]",2825102
Yearningmage,Mage,1,8,0.13,Flame and Coin,1,"[""Liberation of Undermine""]",4032419
Kræft,DemonHunter,1,8,0.13,Melee,1,"[""Nerub-ar Palace""]",3319671
Yakkun,Warrior,1,8,0.13,Feast,1,"[""Nerub-ar Palace""]",4576801
Happylazyguy,Hunter,1,8,0.13,Seismic Upheaval,1,"[""Nerub-ar Palace""]",2827850
Dzx,DeathKnight,1,8,0.13,Reckless Impact,1,"[""Nerub-ar Palace""]",2947457
Skînwalker,Druid,1,8,0.13,Cataclysmic Entropy,1,"[""Nerub-ar Palace""]",2827053
Elviscacha,Mage,1,8,0.13,Cataclysmic Entropy,1,"[""Nerub-ar Palace""]",2831057
Jujubrew,Monk,1,8,0.13,Void Bolt,1,"[""Nerub-ar Palace""]",2943041
Skinkemand,Warlock,1,8,0.13,Impaled,1,"[""Nerub-ar Palace""]",2938730
Lyonprison,DemonHunter,4,33,0.12,Blasting Scream,1,"[""Aberrus, the Shadowed Crucible"",""Amirdrassil, the Dream's Hope""]",4615103
Pastries,Paladin,4,34,0.12,Cauterized Explosion,1,"[""Vault of the Incarnates""]",12467400
Girthyheals,Priest,2,17,0.12,Pay-Line,1,"[""Liberation of Undermine""]",4329597
Superfan,Shaman,24,226,0.11,Crystalline Shockwave,3,"[""Manaforge Omega"",""Nerub-ar Palace""]",8542279
Emsy,Priest,1,9,0.11,Fire Beam,1,"[""Amirdrassil, the Dream's Hope""]",3887139
Alexmaev,Mage,1,9,0.11,Raging Winds,1,"[""Vault of the Incarnates""]",7018779
Codders,Mage,28,269,0.1,Melee,3,"[""Amirdrassil, the Dream's Hope"",""Liberation of Undermine"",""Aberrus, the Shadowed Crucible"",""Nerub-ar Palace"",""Vault of the Incarnates""]",363024797
Swanshot,Hunter,1,10,0.1,Electric Scales,1,"[""Vault of the Incarnates""]",4020849
Gigasaga,DemonHunter,22,306,0.07,Dying Flare,4,"[""Blackrock Depths"",""Nerub-ar Palace""]",9677364
Momojadsie,Priest,10,141,0.07,Big Bad Buncha Bombs,2,"[""Liberation of Undermine""]",6625558
Zydeh,DemonHunter,1,18,0.06,Lightning Breath,1,"[""Vault of the Incarnates""]",3968002
Dribblering,Evoker,6,122,0.05,Devour,2,"[""Nerub-ar Palace""]",5964583
Temra,Warlock,17,395,0.04,Venomous Rain,2,"[""Nerub-ar Palace""]",7254714
Oxhorde,Druid,6,161,0.04,Blood Pact,1,"[""Nerub-ar Palace""]",10468084
Swolorno,Hunter,5,217,0.02,Scorching Wind,1,"[""Vault of the Incarnates"",""Blackrock Depths""]",8296675
Portsmouth,Mage,2,198,0.01,Blazing Seed,1,"[""Vault of the Incarnates""]",12467398
